,actuaries,bioinformatics technicians,biostatisticians,blockchain engineers,business intelligence analysts,clinical data managers,computer and information research scientists,computer network architects,computer network support specialists,computer programmers,computer systems analysts,computer systems engineers/architects,computer user support specialists,data scientists,data warehousing specialists,database administrators,database architects,digital forensics analysts,document management specialists,geographic information systems technologists and technicians,health informatics specialists,information security analysts,information security engineers,information technology project managers,mathematicians,network and computer systems administrators,operations research analysts,penetration testers,software developers,software quality assurance analysts and testers,statisticians,telecommunications engineering specialists,video game designers,web administrators,web and digital interface designers,web developers
computer systems analysts,0.7878787878787878,0.6818181818181818,0.7384615384615385,1.0,0.25757575757575757,0.7727272727272727,0.5151515151515151,0.3157894736842105,0.4852941176470588,0.24242424242424243,0.0,0.15714285714285714,0.1643835616438356,0.25757575757575757,0.3787878787878788,0.2,0.2714285714285714,1.0,0.5735294117647058,0.6268656716417911,0.7352941176470589,0.2857142857142857,1.0,0.19117647058823528,0.696969696969697,0.19718309859154928,0.49230769230769234,1.0,0.2571428571428571,0.18309859154929578,0.7692307692307693,0.6363636363636364,0.7121212121212122,0.5362318840579711,0.29850746268656714,0.25757575757575757
computer systems engineers/architects,0.7846153846153846,0.65625,0.734375,1.0,0.24615384615384617,0.7692307692307693,0.5303030303030303,0.2602739726027397,0.5,0.25757575757575757,0.15714285714285714,0.0,0.1780821917808219,0.24615384615384617,0.36923076923076925,0.18840579710144928,0.2608695652173913,1.0,0.5671641791044776,0.6,0.6923076923076923,0.2753623188405797,1.0,0.20588235294117646,0.671875,0.2361111111111111,0.5076923076923077,1.0,0.22058823529411764,0.14492753623188406,0.765625,0.6515151515151515,0.7076923076923077,0.48484848484848486,0.26153846153846155,0.21875
computer user support specialists,0.8,0.6811594202898551,0.7714285714285715,1.0,0.323943661971831,0.7857142857142857,0.5833333333333334,0.3076923076923077,0.49295774647887325,0.3333333333333333,0.1643835616438356,0.1780821917808219,0.0,0.323943661971831,0.43661971830985913,0.2191780821917808,0.3108108108108108,1.0,0.5972222222222222,0.6285714285714286,0.6956521739130435,0.2535211267605634,1.0,0.2361111111111111,0.6956521739130435,0.24,0.5217391304347826,1.0,0.25,0.1527777777777778,0.8,0.6376811594202898,0.7285714285714285,0.5416666666666666,0.3142857142857143,0.3
data scientists,0.7254901960784313,0.6153846153846154,0.66,1.0,0.0,0.7058823529411765,0.4339622641509434,0.4520547945205479,0.5333333333333333,0.19642857142857142,0.25757575757575757,0.24615384615384617,0.323943661971831,0.0,0.2641509433962264,0.23809523809523808,0.2903225806451613,1.0,0.48148148148148145,0.5192307692307693,0.660377358490566,0.359375,1.0,0.2,0.6346153846153846,0.3382352941176471,0.34,1.0,0.30158730158730157,0.24615384615384617,0.7,0.6607142857142857,0.6538461538461539,0.49122807017543857,0.29310344827586204,0.24561403508771928
data warehousing specialists,0.6744186046511628,0.5777777777777777,0.627906976744186,1.0,0.2641509433962264,0.7111111111111111,0.4375,0.4782608695652174,0.5454545454545454,0.2777777777777778,0.3787878787878788,0.36923076923076925,0.43661971830985913,0.2641509433962264,0.0,0.3387096774193548,0.3103448275862069,1.0,0.5490196078431373,0.5319148936170213,0.6304347826086957,0.38333333333333336,1.0,0.36065573770491804,0.6,0.43283582089552236,0.40425531914893614,1.0,0.35,0.36923076923076925,0.6428571428571429,0.6862745098039216,0.6222222222222222,0.5283018867924528,0.3148148148148148,0.2962962962962963
database administrators,0.7741935483870968,0.6825396825396826,0.7213114754098361,1.0,0.23809523809523808,0.7580645161290323,0.5079365079365079,0.3684210526315789,0.5223880597014925,0.2222222222222222,0.2,0.18840579710144928,0.2191780821917808,0.23809523809523808,0.3387096774193548,0.0,0.14285714285714285,1.0,0.5909090909090909,0.6461538461538462,0.6984126984126984,0.29411764705882354,1.0,0.22388059701492538,0.6774193548387096,0.2535211267605634,0.45901639344262296,1.0,0.2647058823529412,0.18840579710144928,0.7540983606557377,0.65625,0.7142857142857143,0.5522388059701493,0.28125,0.265625
database architects,0.7758620689655172,0.6551724137931034,0.6964285714285714,1.0,0.2903225806451613,0.7368421052631579,0.5166666666666667,0.41333333333333333,0.45901639344262296,0.27419354838709675,0.2714285714285714,0.2608695652173913,0.3108108108108108,0.2903225806451613,0.3103448275862069,0.14285714285714285,0.0,1.0,0.5573770491803278,0.5932203389830508,0.6949152542372882,0.3181818181818182,1.0,0.3235294117647059,0.6491228070175439,0.323943661971831,0.5166666666666667,1.0,0.26153846153846155,0.2608695652173913,0.7321428571428571,0.65,0.711864406779661,0.5161290322580645,0.3064516129032258,0.2903225806451613
digital forensics analysts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
document management specialists,0.7297297297297297,0.5789473684210527,0.5588235294117647,1.0,0.48148148148148145,0.6666666666666666,0.5227272727272727,0.6619718309859155,0.6538461538461539,0.5689655172413793,0.5735294117647058,0.5671641791044776,0.5972222222222222,0.48148148148148145,0.5490196078431373,0.5909090909090909,0.5573770491803278,1.0,0.0,0.4473684210526316,0.675,0.640625,1.0,0.5483870967741935,0.6410256410256411,0.6231884057971014,0.5869565217391305,1.0,0.5409836065573771,0.5671641791044776,0.6571428571428571,0.7045454545454546,0.5945945945945946,0.5531914893617021,0.4716981132075472,0.48148148148148145
geographic information systems technologists and technicians,0.5517241379310345,0.41935483870967744,0.5333333333333333,1.0,0.5192307692307693,0.5666666666666667,0.46153846153846156,0.6363636363636364,0.6458333333333334,0.5555555555555556,0.6268656716417911,0.6,0.6285714285714286,0.5192307692307693,0.5319148936170213,0.6461538461538462,0.5932203389830508,1.0,0.4473684210526316,0.0,0.45161290322580644,0.6333333333333333,1.0,0.559322033898305,0.5,0.6567164179104478,0.5,1.0,0.6229508196721312,0.6,0.5,0.631578947368421,0.4838709677419355,0.4634146341463415,0.5660377358490566,0.5471698113207547
health informatics specialists,0.5,0.4074074074074074,0.5384615384615384,1.0,0.660377358490566,0.52,0.6829268292682927,0.7272727272727273,0.717391304347826,0.6909090909090909,0.7352941176470589,0.6923076923076923,0.6956521739130435,0.660377358490566,0.6304347826086957,0.6984126984126984,0.6949152542372882,1.0,0.675,0.45161290322580644,0.0,0.6896551724137931,1.0,0.6610169491525424,0.4444444444444444,0.7272727272727273,0.5789473684210527,1.0,0.7213114754098361,0.6923076923076923,0.6153846153846154,0.6470588235294118,0.5357142857142857,0.6428571428571429,0.6792452830188679,0.6346153846153846
information security analysts,0.75,0.625,0.7142857142857143,1.0,0.359375,0.7321428571428571,0.6031746031746031,0.3142857142857143,0.423728813559322,0.31746031746031744,0.2857142857142857,0.2753623188405797,0.2535211267605634,0.359375,0.38333333333333336,0.29411764705882354,0.3181818181818182,1.0,0.640625,0.6333333333333333,0.6896551724137931,0.0,1.0,0.36231884057971014,0.6666666666666666,0.2898550724637681,0.4827586206896552,1.0,0.30303030303030304,0.2753623188405797,0.75,0.6206896551724138,0.7288135593220338,0.5555555555555556,0.4,0.359375
information security engineers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
information technology project managers,0.7627118644067796,0.6440677966101694,0.7068965517241379,1.0,0.2,0.7457627118644068,0.48333333333333334,0.38666666666666666,0.5454545454545454,0.2698412698412698,0.19117647058823528,0.20588235294117646,0.2361111111111111,0.2,0.36065573770491804,0.22388059701492538,0.3235294117647059,1.0,0.5483870967741935,0.559322033898305,0.6610169491525424,0.36231884057971014,1.0,0.0,0.6610169491525424,0.2714285714285714,0.43103448275862066,1.0,0.3088235294117647,0.2318840579710145,0.7413793103448276,0.639344262295082,0.6779661016949152,0.5757575757575758,0.30158730158730157,0.25806451612903225
mathematicians,0.56,0.4074074074074074,0.48,1.0,0.6346153846153846,0.5769230769230769,0.6829268292682927,0.7076923076923077,0.5952380952380952,0.6666666666666666,0.696969696969697,0.671875,0.6956521739130435,0.6346153846153846,0.6,0.6774193548387096,0.6491228070175439,1.0,0.6410256410256411,0.5,0.4444444444444444,0.6666666666666666,1.0,0.6610169491525424,0.0,0.7076923076923077,0.6153846153846154,1.0,0.6779661016949152,0.6923076923076923,0.5,0.6470588235294118,0.48148148148148145,0.5384615384615384,0.6274509803921569,0.6346153846153846
network and computer systems administrators,0.8,0.6923076923076923,0.7692307692307693,1.0,0.3382352941176471,0.7846153846153846,0.5454545454545454,0.25,0.4461538461538462,0.2727272727272727,0.19718309859154928,0.2361111111111111,0.24,0.3382352941176471,0.43283582089552236,0.2535211267605634,0.323943661971831,1.0,0.6231884057971014,0.6567164179104478,0.7272727272727273,0.2898550724637681,1.0,0.2714285714285714,0.7076923076923077,0.0,0.5454545454545454,1.0,0.3333333333333333,0.28378378378378377,0.8,0.6461538461538462,0.7424242424242424,0.5652173913043478,0.35294117647058826,0.31343283582089554
operations research analysts,0.6285714285714286,0.5135135135135135,0.6486486486486487,1.0,0.34,0.6,0.5652173913043478,0.5671641791044776,0.5208333333333334,0.4727272727272727,0.49230769230769234,0.5076923076923077,0.5217391304347826,0.34,0.40425531914893614,0.45901639344262296,0.5166666666666667,1.0,0.5869565217391305,0.5,0.5789473684210527,0.4827586206896552,1.0,0.43103448275862066,0.6153846153846154,0.5454545454545454,0.0,1.0,0.5483870967741935,0.5076923076923077,0.6285714285714286,0.5853658536585366,0.6410256410256411,0.62,0.5357142857142857,0.5178571428571429
penetration testers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
software developers,0.7586206896551724,0.6610169491525424,0.7241379310344828,1.0,0.30158730158730157,0.7627118644067796,0.5483870967741935,0.3783783783783784,0.46774193548387094,0.3125,0.2571428571428571,0.22058823529411764,0.25,0.30158730158730157,0.35,0.2647058823529412,0.26153846153846155,1.0,0.5409836065573771,0.6229508196721312,0.7213114754098361,0.30303030303030304,1.0,0.3088235294117647,0.6779661016949152,0.3333333333333333,0.5483870967741935,1.0,0.0,0.109375,0.7368421052631579,0.6774193548387096,0.6491228070175439,0.5238095238095238,0.2033898305084746,0.21666666666666667
software quality assurance analysts and testers,0.7846153846153846,0.65625,0.734375,1.0,0.24615384615384617,0.7692307692307693,0.5522388059701493,0.32894736842105265,0.5,0.23076923076923078,0.18309859154929578,0.14492753623188406,0.1527777777777778,0.24615384615384617,0.36923076923076925,0.18840579710144928,0.2608695652173913,1.0,0.5671641791044776,0.6,0.6923076923076923,0.2753623188405797,1.0,0.2318840579710145,0.6923076923076923,0.28378378378378377,0.5076923076923077,1.0,0.109375,0.0,0.765625,0.6515151515151515,0.6875,0.5507246376811594,0.2878787878787879,0.24615384615384617
statisticians,0.5,0.52,0.3157894736842105,1.0,0.7,0.5238095238095238,0.5882352941176471,0.78125,0.7380952380952381,0.7058823529411765,0.7692307692307693,0.765625,0.8,0.7,0.6428571428571429,0.7540983606557377,0.7321428571428571,1.0,0.6571428571428571,0.5,0.6153846153846154,0.75,1.0,0.7413793103448276,0.5,0.8,0.6285714285714286,1.0,0.7368421052631579,0.765625,0.0,0.75,0.5416666666666666,0.6578947368421053,0.6938775510204082,0.7
telecommunications engineering specialists,0.6666666666666666,0.5757575757575758,0.7272727272727273,1.0,0.6607142857142857,0.6774193548387096,0.7111111111111111,0.625,0.5,0.6428571428571429,0.6363636363636364,0.6515151515151515,0.6376811594202898,0.6607142857142857,0.6862745098039216,0.65625,0.65,1.0,0.7045454545454546,0.631578947368421,0.6470588235294118,0.6206896551724138,1.0,0.639344262295082,0.6470588235294118,0.6461538461538462,0.5853658536585366,1.0,0.6774193548387096,0.6515151515151515,0.75,0.0,0.6764705882352942,0.6444444444444445,0.7241379310344828,0.7288135593220338
video game designers,0.5416666666666666,0.4444444444444444,0.4583333333333333,1.0,0.6538461538461539,0.5,0.5277777777777778,0.7230769230769231,0.6511627906976745,0.660377358490566,0.7121212121212122,0.7076923076923077,0.7285714285714285,0.6538461538461539,0.6222222222222222,0.7142857142857143,0.711864406779661,1.0,0.5945945945945946,0.4838709677419355,0.5357142857142857,0.7288135593220338,1.0,0.6779661016949152,0.48148148148148145,0.7424242424242424,0.6410256410256411,1.0,0.6491228070175439,0.6875,0.5416666666666666,0.6764705882352942,0.0,0.6341463414634146,0.62,0.6274509803921569
web administrators,0.6578947368421053,0.5853658536585366,0.675,1.0,0.49122807017543857,0.7,0.5918367346938775,0.5652173913043478,0.5769230769230769,0.5254237288135594,0.5362318840579711,0.48484848484848486,0.5416666666666666,0.49122807017543857,0.5283018867924528,0.5522388059701493,0.5161290322580645,1.0,0.5531914893617021,0.4634146341463415,0.6428571428571429,0.5555555555555556,1.0,0.5757575757575758,0.5384615384615384,0.5652173913043478,0.62,1.0,0.5238095238095238,0.5507246376811594,0.6578947368421053,0.6444444444444445,0.6341463414634146,0.0,0.5087719298245614,0.5172413793103449
web and digital interface designers,0.72,0.660377358490566,0.68,1.0,0.29310344827586204,0.75,0.4528301886792453,0.4225352112676056,0.55,0.3050847457627119,0.29850746268656714,0.26153846153846155,0.3142857142857143,0.29310344827586204,0.3148148148148148,0.28125,0.3064516129032258,1.0,0.4716981132075472,0.5660377358490566,0.6792452830188679,0.4,1.0,0.30158730158730157,0.6274509803921569,0.35294117647058826,0.5357142857142857,1.0,0.2033898305084746,0.2878787878787879,0.6938775510204082,0.7241379310344828,0.62,0.5087719298245614,0.0,0.058823529411764705
web developers,0.7254901960784313,0.6415094339622641,0.66,1.0,0.24561403508771928,0.7307692307692307,0.4339622641509434,0.4084507042253521,0.5573770491803278,0.25862068965517243,0.25757575757575757,0.21875,0.3,0.24561403508771928,0.2962962962962963,0.265625,0.2903225806451613,1.0,0.48148148148148145,0.5471698113207547,0.6346153846153846,0.359375,1.0,0.25806451612903225,0.6346153846153846,0.31343283582089554,0.5178571428571429,1.0,0.21666666666666667,0.24615384615384617,0.7,0.7288135593220338,0.6274509803921569,0.5172413793103449,0.058823529411764705,0.0
